trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
156,False,"{'a': 0.95, 'e': 0.9878566566949545}",20,0,-105.60605555781272,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
157,False,"{'a': 0.95, 'e': 0.9877007947590948}",30,0,-151.07658216531712,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
158,False,"{'a': 0.95, 'e': 0.9875439451225226}",20,0,-81.31623644201595,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
159,False,"{'a': 0.95, 'e': 0.9873861079420876}",20,0,-98.07777758165587,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
160,False,"{'a': 0.95, 'e': 0.9872272833756269}",20,0,-86.15718246527922,"{0: 9, 1: 7, 2: 2, 3: 2, 4: 0}",0
161,False,"{'a': 0.95, 'e': 0.9870674715819652}",25,0,-150.42524525100256,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
162,False,"{'a': 0.95, 'e': 0.986906672720914}",30,0,-91.45370149440869,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
163,False,"{'a': 0.95, 'e': 0.9867448869532726}",35,0,-186.25143736207914,"{0: 19, 1: 3, 2: 11, 3: 0, 4: 2}",0
164,False,"{'a': 0.95, 'e': 0.9865821144408262}",35,0,-96.34572549562142,"{0: 23, 1: 5, 2: 4, 3: 3, 4: 0}",0
165,False,"{'a': 0.95, 'e': 0.9864183553463477}",25,0,-90.34167704072739,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.95, 'e': 0.986253609833596}",25,0,-76.60892124569159,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
167,False,"{'a': 0.95, 'e': 0.9860878780673167}",25,0,-144.31992665352345,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
168,False,"{'a': 0.95, 'e': 0.9859211602132415}",20,0,-34.36128581603637,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
169,False,"{'a': 0.95, 'e': 0.9857534564380882}",30,4,-123.62339398341025,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 2}",1
170,False,"{'a': 0.95, 'e': 0.9855847669095608}",25,0,-163.2445446856172,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
171,False,"{'a': 0.95, 'e': 0.9854150917963483}",25,0,-75.47373150467618,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
172,False,"{'a': 0.95, 'e': 0.9852444312681263}",25,0,-82.57062764601227,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
173,False,"{'a': 0.95, 'e': 0.9850727854955552}",25,0,-157.80253850810365,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
174,False,"{'a': 0.95, 'e': 0.9849001546502806}",25,0,-93.24872498325203,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
175,False,"{'a': 0.95, 'e': 0.9847265389049334}",30,0,-125.53624568365962,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
176,False,"{'a': 0.95, 'e': 0.9845519384331295}",25,0,-308.2294054664922,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 6}",0
177,False,"{'a': 0.95, 'e': 0.984376353409469}",30,0,-150.03641340310588,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
178,False,"{'a': 0.95, 'e': 0.9841997840095373}",20,0,-74.70699178493942,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
179,False,"{'a': 0.95, 'e': 0.9840222304099036}",25,0,-159.72770315806653,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
180,False,"{'a': 0.95, 'e': 0.9838436927881214}",30,0,-233.08524502698742,"{0: 16, 1: 2, 2: 6, 3: 3, 4: 3}",0
181,False,"{'a': 0.95, 'e': 0.9836641713227284}",20,0,-164.68068365288187,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
182,False,"{'a': 0.95, 'e': 0.9834836661932461}",25,0,-168.8841264356846,"{0: 10, 1: 6, 2: 7, 3: 0, 4: 2}",0
